Título,Link,Imagem,UF,Ano,KM,Valor do Lance,Situação,Data Leilão,Detalhe_Ano_Combustivel_KM,Detalhe_Valor_Mercado_Cor_Chave,Detalhe_Tipo_Retomada,Detalhe_Localizacao,Detalhe_Tipo_Veiculo,Detalhe_Ano,Detalhe_KM,Detalhe_Valor_Mercado,Detalhe_Combustivel,Detalhe_Cor,Detalhe_Possui_Chave,Detalhe_Tipo_Retomada_GT_SM,Detalhe_Localizacao_GT_SM,Detalhe_Tipo_Veiculo_GT_SM
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/d645d8c0-9301-11ef-ab5e-02420a000046,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750278095889_38f6ad07-19c6-4454-89fb-c5cade61837f_pequena_leilo.webp,SP,2010,140.155 km,"R$ 11.900,00",Leilão ao vivo em: 3 dias 21h56m2s,23/06/2025,,,N/A,N/A,N/A,2010/2010,140.155,"R$ 21.470,00",Flex,,,Recuperado de Financiamento,PATIO SAO CARLOS-SP (SÃO CARLOS/SP),Carros
FIAT/STRADA HARD WORKING CABINE SIMPLES CC E,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2017/7c3efa27-10b0-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269424279_14b66fdf-02d0-4982-ba8c-fa3cb7a391b2_pequena_leilo.webp,GO,2017,162.141 km,"R$ 30.300,00",Leilão ao vivo em: 4 dias 17h24m55s,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/FOX GII 1.0 (2P/4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-gii-1.0-(2p%2F4p)/ano.2010/31b6b530-0a42-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269853957_4d0ff86d-f220-4934-b1ce-baa8a2c94ceb_pequena_leilo.webp,GO,2009,294.172 km,"R$ 12.700,00",Leilão ao vivo em: 4 dias 17h38m12s,24/06/2025,,,N/A,N/A,N/A,2009/2010,294.172,"R$ 23.041,00",Flex,,,Recuperado de Financiamento,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),Carros
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/595ce0b9-40a5-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275350544_5dd5354e-d599-4837-88a9-9f8f6971348b_pequena_leilo.webp,GO,2021,208.206 km,"R$ 25.800,00",Leilão ao vivo em: 4 dias 17h53m40s,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX PLUS 10TMT LT1,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-lt1/ano.2024/94bf5e2f-bf00-11ef-8e48-02420a000017,https://leilo.com.br/lote/fotos-modelo/carro.jpg,CE,2023,12.050 km,"R$ 48.100,00",Leilão ao vivo em: 6 dias 2h42m23s,25/06/2025,,,N/A,N/A,N/A,2023/2024,12.050,"R$ 87.352,00",Flex,,,Recuperado de Financiamento,PATIO FORTALEZA/CE (EUSÉBIO/CE),Carros
