Detalhe_Tipo_Veiculo,Detalhe_Tipo_Retomada,Link,Ano,Data Leilao,Detalhe_Combustivel,Detalhe_Valor_Mercado,Detalhe_Localizacao,KM,Imagem,Valor do Lance,Situação,Título,Detalhe_Ano_Veiculo,Detalhe_Cor,UF,Detalhe_Possui_Chave,Detalhe_KM_Veiculo
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/207-passion-xr-(4p)/ano.2011/5ea91e44-1870-11ef-b80e-02420a000059,2010,25/06/2025,Flex,"19.620,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750446723585_d490fd79-12b1-432d-894a-5da4a970a144_pequena_leilo.webp,"R$ 10.800,00",Leilão ao vivo em: 14h46m5s,PEUGEOT/207 PASSION XR (4P),2010,Cinza,CE,Sim,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2022/fba8af34-2290-11f0-bcc9-02420a000216,2021,25/06/2025,Flex,"68.066,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750795894292_a8850f19-9837-4477-8e5c-24a30f87821e_pequena_leilo.webp,"R$ 37.500,00",Leilão ao vivo em: 14h46m34s,CHEVROLET/ONIX 10MT LT2,2021,Cinza,CE,Sim,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-plus-10tat-lt1/ano.2024/9d7fa4ba-0a48-11f0-8c72-02420a00002d,2023,25/06/2025,Flex,"94.162,00",PATIO SALVADOR-BA (CANDEIAS/BA),46.508 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452640423_510ce2b9-b3ef-48b4-8e9a-6f0553eeeecc_pequena_leilo.webp,"R$ 51.800,00",Leilão ao vivo em: 14h47m4s,CHEVROLET/ONIX PLUS 10TAT LT1,2023,Prata,BA,Sim,46.508
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/5e2169d9-2d17-11f0-9f79-02420a000005,2018,25/06/2025,Flex,"44.456,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),202.866 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786350887_0852ada2-c9b0-4f94-a1de-834136650a6c_pequena_leilo.webp,"R$ 24.600,00",Leilão ao vivo em: 14h48m33s,FORD/KA HATCH SE 1.0 C (4P),2018,Branca,CE,Sim,202.866
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/spin-1.8l-mt-ltz/ano.2018/e4cec525-16dc-11f0-b6cf-02420a00009e,2017,25/06/2025,Flex,"59.758,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),191.492 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786862566_02d08c92-f5b7-4a80-8aad-efd70efd5d27_pequena_leilo.webp,"R$ 33.800,00",Leilão ao vivo em: 14h49m32s,CHEVROLET/SPIN 1.8L MT LTZ,2017,Branca,CE,Sim,191.492
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/ka-se-b-(4p)/ano.2018/6af68b1e-2d1c-11f0-9f79-02420a000005,2017,25/06/2025,N/A,N/A,N/A,106.461 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750795896826_585b4923-3855-4bd4-8e95-3f1ad32aff81_pequena_leilo.webp,"R$ 23.800,00",Leilão ao vivo em: 14h50m0s,FORD/KA SE B (4P),N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/uno-way-1.0-(2p%2F4p)/ano.2012/c8042519-29b9-11f0-9f79-02420a000005,2011,25/06/2025,Flex,"29.834,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),129.183 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786832470_a644c9c6-12c4-4604-9277-60ae565c6f80_pequena_leilo.webp,"R$ 16.500,00",Leilão ao vivo em: 14h50m27s,FIAT/UNO WAY 1.0 (2P/4P),2011,Preta,CE,Sim,129.183
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/up-take-ma-(2p%2F4p)/ano.2017/f9cc0ea7-7b57-11ef-a1ff-02420a0000dd,2016,25/06/2025,Flex,"40.852,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),94.177 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424119524_b740a5a2-fb2b-48df-b726-f5344760e132_pequena_leilo.webp,"R$ 22.600,00",Leilão ao vivo em: 14h50m56s,VOLKSWAGEN/UP TAKE MA (2P/4P),2016,Branca,CE,Sim,94.177
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/f2039e71-35af-11f0-9f79-02420a000005,2016,25/06/2025,Flex,"41.236,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),123.057 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424099047_03e7811a-959a-42c1-a4cd-41c0cfc20734_pequena_leilo.webp,"R$ 23.100,00",Leilão ao vivo em: 14h51m26s,VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P),2016,Prata,CE,Sim,123.057
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/hyundai/tucson-glb/ano.2011/35aafb14-0fdc-11f0-8c72-02420a00002d,2010,25/06/2025,Gasolina,"38.930,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),252.350 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424147841_13996732-3439-4a68-9942-14b29e1880c0_pequena_leilo.webp,"R$ 20.800,00",Leilão ao vivo em: 14h51m55s,HYUNDAI/TUCSON GLB,2010,Prata,CE,Sim,252.350
