Detalhe_Tipo_Veiculo,Detalhe_Tipo_Retomada,Link,Ano,Data Leilao,Detalhe_Combustivel,Detalhe_Valor_Mercado,Detalhe_Localizacao,KM,Imagem,Valor do Lance,Situação,Título,Detalhe_Ano_Veiculo,Detalhe_Cor,UF,Detalhe_Possui_Chave,Detalhe_KM_Veiculo
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/ford/fiesta-hatch-se-(4p)/ano.2014/836e9085-4560-11f0-b593-02420a000005,2013,25/06/2025,Flex,"36.423,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),117.238 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750770185864_a81baacd-6775-4f83-a952-b889a506f221_pequena_leilo.webp,"R$ 20.100,00",Leilão ao vivo em: 15h3m24s,FORD/FIESTA HATCH SE (4P),2013,Prata,CE,Sim,117.238
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/fox-prime-gii-(4p%2F2p)/ano.2013/80981707-1f87-11f0-abeb-02420a0000a3,2013,25/06/2025,Flex,"38.052,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),155.995 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750708034629_40888045-703a-403f-81eb-898783f21337_pequena_leilo.webp,"R$ 20.700,00",Leilão ao vivo em: 15h3m54s,VOLKSWAGEN/FOX PRIME GII (4P/2P),2013,Vermelha,CE,Sim,155.995
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/versa-sl-flex-(4p)/ano.2013/8744db16-203e-11f0-bcc9-02420a000216,2012,25/06/2025,Flex,"38.203,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),40.809 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750686493173_2a5da73b-ac06-4f0b-90c7-c72cc5eb9faa_pequena_leilo.webp,"R$ 21.600,00",Leilão ao vivo em: 15h4m23s,NISSAN/VERSA SL FLEX (4P),2012,Cinza,CE,Sim,40.809
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/livina-s/ano.2013/504b3067-2295-11f0-bcc9-02420a000216,2012,25/06/2025,Flex,"35.316,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),131.179 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424376186_ffa835d3-1497-4dfa-aa8a-5c53062200b4_pequena_leilo.webp,"R$ 19.500,00",Leilão ao vivo em: 15h4m52s,NISSAN/LIVINA S,2012,Preta,CE,Sim,131.179
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/doblo-essence/ano.2013/d96a1a38-2757-11f0-9f79-02420a000005,2013,25/06/2025,Flex,"43.802,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786502358_b8f6d4ae-2817-4e77-8164-3dae51a379fb_pequena_leilo.webp,"R$ 23.900,00",Leilão ao vivo em: 15h5m22s,FIAT/DOBLO ESSENCE,2013,Prata,CE,Sim,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/novo-gol-(4p%2F2p)/ano.2013/860f8978-3d82-11f0-b593-02420a000005,2012,25/06/2025,Flex,"29.042,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),101.051 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424365427_b8675afd-be34-4e0d-a41a-d7d7d3faa96d_pequena_leilo.webp,"R$ 16.000,00",Leilão ao vivo em: 15h5m51s,VOLKSWAGEN/NOVO GOL (4P/2P),2012,Preta,CE,Sim,101.051
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/tracker-turbo-ltz/ano.2025/258eee05-1b89-11f0-abeb-02420a0000a3,2024,25/06/2025,Flex,"133.304,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),7.629 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275503363_9936ad79-cc0b-4aa2-be8b-8626cf186ee3_pequena_leilo.webp,"R$ 76.400,00",Leilão ao vivo em: 23h15m50s,CHEVROLET/TRACKER TURBO LTZ,2024,Vermelha,GO,Sim,7.629
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-plus-10tat-pr2/ano.2025/dfb78267-13ff-11f0-b6cf-02420a00009e,2024,25/06/2025,Flex,"110.063,00",PATIO SAO CARLOS-SP (SÃO CARLOS/SP),17.784 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750793524146_caa6bea5-114d-434b-9cf9-fdb8c50596e1_pequena_leilo.webp,"R$ 66.000,00",Leilão ao vivo em: 23h16m20s,CHEVROLET/ONIX PLUS 10TAT PR2,2024,Prata,SP,Sim,17.784
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/manaus-amazonas/carros/mercedes-benz/e-250-cgi/ano.2012/e3ec925e-250a-11f0-bcc9-02420a000216,2012,25/06/2025,Gasolina,"85.012,00",PATIO MANAUS (MANAUS/AM),62.548 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507795300_83b696fc-a592-4f9f-bff7-3fcc7ec1c0d7_pequena_leilo.webp,"R$ 51.000,00",Leilão ao vivo em: 23h16m49s,MERCEDES-BENZ/E-250 CGI,2012,Prata,AM,Sim,62.548
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/tracker-turbo-ltz/ano.2023/b393064c-ed39-11ef-bd15-02420a00000b,2022,25/06/2025,Flex,"108.267,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),30.555 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750788991530_7e3c73db-596d-4738-ab9c-efbb1acf21cc_pequena_leilo.webp,"R$ 64.000,00",Leilão ao vivo em: 23h17m18s,CHEVROLET/TRACKER TURBO LTZ,2022,Branca,CE,Sim,30.555
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cabine-dupla-low-a4sd/ano.2024/22e573b6-20fe-11f0-bcc9-02420a000216,2024,25/06/2025,Diesel,"229.900,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),53.283 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750704212358_275540f1-228e-4efa-acac-91ddce526d40_pequena_leilo.webp,"R$ 137.000,00",Leilão ao vivo em: 23h17m29s,TOYOTA/HILUX CABINE DUPLA LOW A4SD,2024,Branca,GO,Sim,53.283
N/A,N/A,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/pajero-hpe-g/ano.2011/c3cc65fa-506c-11f0-b593-02420a000005,2011,25/06/2025,N/A,N/A,N/A,N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750795533453_acb49b3f-eb6f-413b-8a3f-584245a9ad53_pequena_leilo.webp,"R$ 46.000,00",Leilão ao vivo em: 23h17m56s,MITSUBISHI/PAJERO HPE G,N/A,N/A,GO,N/A,N/A
Carros,LEILOSHOP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/160e2dd9-42e2-11f0-b593-02420a000005,2023,25/06/2025,Flex,"101.384,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),23.025 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452903701_d013cd58-480c-4427-bfb7-118d2bbac63c_pequena_leilo.webp,"R$ 70.300,00",Leilão ao vivo em: 23h18m26s,CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,2023,Preta,GO,Sim,23.025
Carros,LEILOSHOP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/titano-ranch/ano.2025/7b22d157-357a-11f0-9f79-02420a000005,2024,25/06/2025,Diesel,"214.801,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),128 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750680814513_206751f9-82a7-4972-9fd2-05db20cee2bd_pequena_leilo.webp,"R$ 167.000,00",Leilão ao vivo em: 23h18m55s,FIAT/TITANO RANCH,2024,Preta,GO,Sim,128
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/manaus-amazonas/carros/byd/dolphin-gs-180ev-(4p)/ano.2024/3594c130-fabb-11ef-8c72-02420a00002d,2023,25/06/2025,ELETRICO / FONTE EXT,"124.174,00",PATIO MANAUS (MANAUS/AM),67.522 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750774741721_2c8f23b2-5173-4e18-8736-f02ea0ea693d_pequena_leilo.webp,"R$ 68.300,00",Leilão ao vivo em: 23h19m24s,BYD/DOLPHIN GS 180EV (4P),2023,Preta,AM,Sim,67.522
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/peugeot/208-like/ano.2024/f6998628-2520-11f0-bcc9-02420a000216,2024,25/06/2025,Flex,"67.926,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),10.175 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507813623_b87a6e7c-a7ce-4f4d-9662-641b64ee6b45_pequena_leilo.webp,"R$ 40.000,00",Leilão ao vivo em: 23h19m54s,PEUGEOT/208 LIKE,2024,Preta,GO,Sim,10.175
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2024/2f6b60eb-002d-11f0-8c72-02420a00002d,2023,25/06/2025,Flex,"101.384,00",PATIO ALVORADA - RS (ALVORADA/RS),50.663 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275060694_81ab1199-40f6-430f-879f-e99d7a0d5f8a_pequena_leilo.webp,"R$ 60.000,00",Leilão ao vivo em: 23h20m23s,CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,2023,Prata,RS,Sim,50.663
Carros,LEILOSHOP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mercedes-benz/e-300-(4p)/ano.2019/5e2779c7-4c7a-11f0-b593-02420a000005,2019,25/06/2025,Gasolina,"255.059,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),13.284 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750710512080_a79940d9-40b3-4a6d-aba8-08131fc76e39_pequena_leilo.webp,"R$ 169.000,00",Leilão ao vivo em: 23h20m52s,MERCEDES-BENZ/E-300 (4P),2019,Preta,GO,Sim,13.284
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/yaris-sa-plus-connect/ano.2022/158a7517-31c7-11f0-9f79-02420a000005,2021,25/06/2025,Flex,"83.175,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),89.844 km,https://leilo.com.br/lote/fotos-modelo/carro.jpg,"R$ 45.800,00",Leilão ao vivo em: 23h21m22s,TOYOTA/YARIS SA PLUS CONNECT,2021,Cinza,GO,Sim,89.844
N/A,N/A,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-a-lt/ano.2023/575b352b-0bd7-11f0-8c72-02420a00002d,2022,25/06/2025,N/A,N/A,N/A,45.889 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750767488746_6da98741-2efe-4add-97be-39dd814cf77a_pequena_leilo.webp,"R$ 61.000,00",Leilão ao vivo em: 23h21m51s,CHEVROLET/TRACKER A LT,N/A,N/A,SP,N/A,N/A
Carros,LEILOSHOP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/honda/cr-v-fh-touring/ano.2024/e4bd141a-46f5-11f0-b593-02420a000005,2023,25/06/2025,GASOLINA/ELETRICO,"268.606,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),196 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452887690_c7131cae-aae0-4408-a612-a50463c3996a_pequena_leilo.webp,"R$ 186.300,00",Leilão ao vivo em: 23h22m20s,HONDA/CR-V FH-TOURING,2023,Preta,GO,Sim,196
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2024/49f0eca5-2502-11f0-bcc9-02420a000216,2023,25/06/2025,Flex,"124.311,00",PATIO SAO CARLOS-SP (SÃO CARLOS/SP),31.137 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750786171514_c6e23a1f-74df-4c39-bb99-61dad53883b6_pequena_leilo.webp,"R$ 74.000,00",Leilão ao vivo em: 23h22m50s,CHEVROLET/TRACKER TURBO LTZ,2023,Azul,SP,Sim,31.137
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ranger-limited-p-cabine-dupla-diesel/ano.2024/520494e1-2507-11f0-bcc9-02420a000216,2024,25/06/2025,Diesel,"309.011,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),30.974 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507705547_45503fdb-4326-443b-a007-b3253ced861b_pequena_leilo.webp,"R$ 178.500,00",Leilão ao vivo em: 23h23m19s,FORD/RANGER LIMITED P CABINE DUPLA DIESEL,2024,Cinza,GO,Sim,30.974
Carros,LEILOSHOP,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/audi/q5-tfsi-(4p)/ano.2023/4b307e33-4c45-11f0-b593-02420a000005,2022,25/06/2025,Gasolina,"294.402,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),24.474 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750680794184_a3554852-507b-42d3-aa7f-8ca05bb9908a_pequena_leilo.webp,"R$ 180.000,00",Leilão ao vivo em: 23h23m49s,AUDI/Q5 TFSI (4P),2022,Cinza,GO,Sim,24.474
N/A,N/A,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/tracker-a-premier/ano.2023/1b14ad33-fa88-11ef-8c72-02420a00002d,2022,25/06/2025,N/A,N/A,N/A,35.301 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750794543269_699bd560-4706-4e77-a132-cab5227386d9_pequena_leilo.webp,"R$ 67.200,00",Leilão ao vivo em: 23h24m18s,CHEVROLET/TRACKER A PREMIER,N/A,N/A,PR,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/polo-ma/ano.2024/7d1d4f9d-25c7-11f0-bcc9-02420a000216,2023,25/06/2025,Flex,"74.671,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),52.005 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507659761_53499789-eb05-49fc-98be-ea45e34c0303_pequena_leilo.webp,"R$ 43.600,00",Leilão ao vivo em: 23h24m47s,VOLKSWAGEN/POLO MA,2023,Branca,GO,Sim,52.005
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-10tat-pr1/ano.2021/02494bd7-1fc2-11f0-abeb-02420a0000a3,2020,25/06/2025,Flex,N/A,PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),47.890 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507595639_a3e4e0f4-7aaa-4f78-bf1d-c13eb50acded_pequena_leilo.webp,"R$ 43.900,00",Leilão ao vivo em: 23h25m15s,CHEVROLET/ONIX 10TAT PR1,2020,Azul,GO,Sim,47.890
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/montana-turbo-ltz/ano.2023/c32e1f3c-e2f3-11ef-903d-02420a000042,2023,25/06/2025,Flex,"117.318,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),29.917 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275478084_c49dc590-2b24-463c-bc05-77d8d1886bb7_pequena_leilo.webp,"R$ 70.000,00",Leilão ao vivo em: 23h25m44s,CHEVROLET/MONTANA TURBO LTZ,2023,Preta,GO,Sim,29.917
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/toro-ranch-at9/ano.2022/c28eb0ad-25c0-11f0-bcc9-02420a000216,2022,25/06/2025,Diesel,"141.723,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),35.547 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507629618_a70de4e6-dfda-4e34-ae07-77f882106343_pequena_leilo.webp,"R$ 81.000,00",Leilão ao vivo em: 23h26m12s,FIAT/TORO RANCH AT9,2022,Cinza,GO,Sim,35.547
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/mobi-like-(4p)/ano.2022/65b7a3af-25b9-11f0-bcc9-02420a000216,2021,25/06/2025,Flex,"50.901,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),69.185 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750789054610_5ea0937e-1fd1-466c-8bf5-44e059464a7d_pequena_leilo.webp,"R$ 28.000,00",Leilão ao vivo em: 23h26m41s,FIAT/MOBI LIKE (4P),2021,Prata,GO,Sim,69.185
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-10mt-lt2/ano.2024/790d9ba6-1acf-11f0-abeb-02420a0000a3,2024,25/06/2025,Flex,"72.715,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),25.255 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275398617_4d4bf163-214f-4620-84ed-c9b787d2b23f_pequena_leilo.webp,"R$ 50.000,00",Leilão ao vivo em: 23h27m10s,CHEVROLET/ONIX 10MT LT2,2024,Cinza,CE,Sim,25.255
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/tracker-turbo-a-lt/ano.2024/302b1a80-1626-11f0-b6cf-02420a00009e,2023,25/06/2025,N/A,N/A,N/A,24.040 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452843641_a18ca195-ed69-4546-89e0-7bf20cb87325_pequena_leilo.webp,"R$ 67.000,00",Leilão ao vivo em: 23h27m40s,CHEVROLET/TRACKER TURBO A LT,N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/yaris-sa-plus-connect/ano.2022/439d79b8-fea4-11ef-8c72-02420a00002d,2021,25/06/2025,Flex,"83.175,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),72.505 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750791068792_74214e2f-3456-4345-8460-7e9046644e44_pequena_leilo.webp,"R$ 45.800,00",Leilão ao vivo em: 23h28m9s,TOYOTA/YARIS SA PLUS CONNECT,2021,Cinza,GO,Sim,72.505
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/t-cross-ad/ano.2020/882d7506-203b-11f0-bcc9-02420a000216,2019,25/06/2025,Flex,"90.336,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),60.364 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750789111692_6f616c65-4b87-4578-90d5-98d4444b74ae_pequena_leilo.webp,"R$ 49.700,00",Leilão ao vivo em: 23h28m39s,VOLKSWAGEN/T CROSS AD,2019,Branca,GO,Sim,60.364
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/creta-a-action/ano.2022/c3941ef7-16d9-11f0-b6cf-02420a00009e,2021,25/06/2025,Flex,"93.735,00",BRASILIA-DF (TAGUATINGA/DF),48.978 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507655560_8f54a74d-92ec-431e-aefe-c93155014535_pequena_leilo.webp,"R$ 56.100,00",Leilão ao vivo em: 23h29m8s,HYUNDAI/CRETA A ACTION,2021,Prata,DF,Sim,48.978
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/onix-plus-10tmt-lt1/ano.2024/94bf5e2f-bf00-11ef-8e48-02420a000017,2023,25/06/2025,Flex,"83.024,00",PATIO FORTALEZA/CE (EUSÉBIO/CE),12.050 km,https://leilo.com.br/lote/fotos-modelo/carro.jpg,"R$ 49.000,00",Leilão ao vivo em: 23h29m37s,CHEVROLET/ONIX PLUS 10TMT LT1,2023,Branca,CE,Não,12.050
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/mitsubishi/triton-sport-outdoor-m/ano.2023/76e2f531-326f-11f0-9f79-02420a000005,2022,25/06/2025,Diesel,"143.512,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),108.575 km,https://leilo.com.br/lote/fotos-modelo/carro.jpg,"R$ 86.000,00",Leilão: Leilão: 25/06/2025 Qua • 22:00,MITSUBISHI/TRITON SPORT OUTDOOR M,2022,Cinza,GO,Sim,108.575
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/candeias-bahia/carros/chevrolet/onix-plus-10tmt-ltz/ano.2023/9a4176a0-3193-11f0-9f79-02420a000005,2022,25/06/2025,Flex,"80.447,00",PATIO SALVADOR-BA (CANDEIAS/BA),12.168 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750452876904_01b05242-e6d0-4283-896a-f9e5bba0d05e_pequena_leilo.webp,"R$ 48.000,00",Leilão ao vivo em: 23h31m6s,CHEVROLET/ONIX PLUS 10TMT LTZ,2022,Preta,BA,Sim,12.168
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nome-padrao/fiat-argo-1.0-6v-flex/ano.2023/729c8aac-ea23-11ef-903d-02420a000042,2022,25/06/2025,Flex,"63.042,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),49.217 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/21/1750507834514_272e6e12-2106-4c1e-8167-ecbdd60fbd7f_pequena_leilo.webp,"R$ 39.000,00",Leilão ao vivo em: 23h31m35s,FIAT ARGO 1.0 6V FLEX,2022,Branca,GO,Sim,49.217
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-endurance-cabine-simples/ano.2022/73988dda-19f7-11f0-bf87-02420a000088,2021,25/06/2025,Flex,"71.969,00",PATIO CENTRAL-GO (APARECIDA DE GOIÂNIA/GO),73.612 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750710976009_fa6433cd-d803-450d-9a5a-e6ef43423b97_pequena_leilo.webp,"R$ 44.500,00",Leilão ao vivo em: 23h32m5s,FIAT/STRADA ENDURANCE CABINE SIMPLES,2021,Branca,GO,Sim,73.612
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/nome-padrao/gm---chevrolet-onix-sed.-plus-prem.-1.0-12v-tb-flex-aut/ano.2023/50ead23d-74fe-11ee-b57d-02420a0000d3,2022,25/06/2025,Flex,"89.403,00",PATIO SAO CARLOS-SP (SÃO CARLOS/SP),5.066 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750774712537_ea04f552-240c-4a23-abf2-2e33e3a81134_pequena_leilo.webp,"R$ 54.500,00",Leilão ao vivo em: 23h31m51s,GM - CHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,2022,Preta,SP,Sim,5.066
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/benevides-para/carros/citroen/c4-cactus-feel-at/ano.2023/3e82a64d-30bd-11f0-9f79-02420a000005,2022,26/06/2025,Flex,"82.806,00",BENEVIDES-PA (BENEVIDES/PA),61.501 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750444743979_933adeef-2736-41d7-b5cd-d4ec6116dcf9_pequena_leilo.webp,"R$ 49.000,00",Leilão ao vivo em: 1 dia 13h44m19s,CITROEN/C4 CACTUS FEEL AT,2022,Branca,PA,Sim,61.501
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/benevides-para/carros/nissan/kicks-advance-(4p)/ano.2024/2c130cb8-2ffb-11f0-9f79-02420a000005,2024,26/06/2025,Flex,"115.437,00",BENEVIDES-PA (BENEVIDES/PA),8.207 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750704661751_277c1e92-07ed-4be6-a1fb-6c5c01f07ae8_pequena_leilo.webp,"R$ 69.000,00",Leilão ao vivo em: 1 dia 13h44m38s,NISSAN/KICKS ADVANCE (4P),2024,Branca,PA,Sim,8.207
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/benevides-para/carros/fiat/argo-trekking/ano.2024/2dac5d33-3704-11f0-bd5d-02420a000005,2024,26/06/2025,Flex,"89.245,00",BENEVIDES-PA (BENEVIDES/PA),31.441 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750775133367_231b3442-9e06-4c02-a0e1-a6fee0391b33_pequena_leilo.webp,"R$ 54.000,00",Leilão ao vivo em: 1 dia 13h45m6s,FIAT/ARGO TREKKING,2024,Branca,PA,Sim,31.441
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/cronos-drive/ano.2023/b23226e3-6151-11ef-a9ca-02420a0000bb,2023,26/06/2025,Flex,"68.916,00",PATIO MANAUS (MANAUS/AM),14.251 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423753514_0ef33011-76cc-4df3-a6ae-73f80ba1c301_pequena_leilo.webp,"R$ 47.500,00",Leilão ao vivo em: 1 dia 13h46m4s,FIAT/CRONOS DRIVE,2023,Vermelha,AM,Sim,14.251
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/benevides-para/carros/renault/kwid-zen-2-(4p)/ano.2023/c5d26ebc-0981-11f0-8c72-02420a00002d,2022,26/06/2025,Flex,"51.079,00",BENEVIDES-PA (BENEVIDES/PA),38.583 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750449427328_db4258e3-2698-4834-8cba-eb38a3a84691_pequena_leilo.webp,"R$ 30.400,00",Leilão ao vivo em: 1 dia 13h46m33s,RENAULT/KWID ZEN 2 (4P),2022,Branca,PA,Sim,38.583
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/benevides-para/carros/volkswagen/gol-mpi-(4p%2F2p)/ano.2023/190e9307-1fbc-11f0-abeb-02420a0000a3,2022,26/06/2025,Flex,"55.587,00",BENEVIDES-PA (BENEVIDES/PA),81.498 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750704636990_e4216815-b70f-4180-a003-28ee07b77a0c_pequena_leilo.webp,"R$ 31.800,00",Leilão ao vivo em: 1 dia 13h46m59s,VOLKSWAGEN/GOL MPI (4P/2P),2022,Branca,PA,Sim,81.498
