veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_patio_uf_localizacao
NISSAN/VERSA ADVANCE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/versa-advance-(4p)/ano.2022/323ac51e-3a62-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651101100_46349009-56dd-46ca-80d3-c714fdf9f975_pequena_leilo.webp,GO,2021,128.601 km,"R$ 47.000,00",Leilão ao vivo em: 15h8m53s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/FOX CONNECT MB (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-connect-mb-(4p%2F2p)/ano.2022/f37da528-0a41-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665145473_219ed0be-18e9-400f-a854-8f4a620f9eb3_pequena_leilo.webp,GO,2021,64.661 km,"R$ 37.900,00",Leilão ao vivo em: 15h9m22s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI/HB20S VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2021/aeb6c3ca-ed2c-11ee-a5fb-02420a0000e9,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751893376839_d76c7b18-83e8-4e75-b794-0842fbfa0d68_pequena_leilo.webp,GO,2020,72.791 km,"R$ 39.400,00",Leilão ao vivo em: 15h9m51s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/STRADA FREEDOM CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-freedom-cabine-dupla/ano.2019/b779573d-0434-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651070594_303ad296-16d9-414c-bcf3-f3eb93c3d23d_pequena_leilo.webp,GO,2018,90.489 km,"R$ 57.800,00",Leilão ao vivo em: 15h10m21s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/d4dda716-16c7-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651041938_5795aa53-f88a-4660-a801-abf7befccdb6_pequena_leilo.webp,GO,2018,182.651 km,"R$ 22.000,00",Leilão ao vivo em: 15h10m49s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/STRADA ADVENTURE CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-adventure-cabine-dupla/ano.2018/91137960-13a8-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665113458_759200da-6a36-4861-942c-539ca4b06f4c_pequena_leilo.webp,GO,2017,176.455 km,"R$ 44.300,00",Leilão ao vivo em: 15h12m19s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/voyage-1.0-(4p)/ano.2013/0327db36-5043-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751664618078_f06a4c3c-23e3-4008-83e3-706dff9d3b42_pequena_leilo.webp,GO,2012,218.079 km,"R$ 16.800,00",Leilão ao vivo em: 15h12m48s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NISSAN/SENTRA S FLEX (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/sentra-s-flex-(4p)/ano.2012/29a42f02-ed69-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651190919_213d22ae-107a-40bd-b928-52cdee3b2e85_pequena_leilo.webp,GO,2011,155.093 km,"R$ 19.600,00",Leilão ao vivo em: 15h13m18s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/C10,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/c10/ano.1976/e0180765-574e-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751639040670_babfb45a-95d2-402d-922a-99d87626bb46_pequena_leilo.webp,GO,2076,56.078 km,"R$ 28.400,00",Leilão ao vivo em: 15h13m47s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX PLUS 10TAT LTZ,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-plus-10tat-ltz/ano.2024/01b01296-4e08-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/3/1751543581584_1a2be70e-392f-4a68-a4d6-3899d93849f7_pequena_leilo.webp,GO,2023,24.328 km,"R$ 66.100,00",Leilão ao vivo em: 15h14m17s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
