titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo
CITROËN C3 1.5 12/13,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.5-12-13-/503/,https://parquedosleiloesoficial.com/web/fotos/lotes_503_citroen-c3-1-5-12-13_parquedosleilao.com_zz247df9d74a.jpg,N/A,17600.00,21600.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CITROEN C4 CACTUS 1.6 22/23,https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-1.6-22-23-/380/,https://parquedosleiloesoficial.com/web/fotos/lotes_380_citroen-c4-cactus-1-6-22-23_parquedosleilao.com_zz74d248160f.JPG,N/A,40400.00,43800.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT ARGO 1.0 20/21,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-20-21-/448/,https://parquedosleiloesoficial.com/web/fotos/lotes_448_fiat-argo-1-0-20-21_parquedosleilao.com_zze5dbd5d242.JPG,N/A,29400.00,33200.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT ARGO 1.3 17/18,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.3-17-18-/320/,https://parquedosleiloesoficial.com/web/fotos/lotes_320_fiat-argo-1-3-17-18_parquedosleilao.com_zz1a39d38146.jpg,N/A,16800.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CIVIC 2.0 17/17,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-17-17-/639/,https://parquedosleiloesoficial.com/web/fotos/lotes_639_honda-civic-2-0-17-17_parquedosleilao.com_zzed1f828361.JPG,N/A,40200.00,43400.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEEP COMPASS 2.0 18/19,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-2.0-18-19-/716/,https://parquedosleiloesoficial.com/web/fotos/lotes_716_jeep-compass-2-0-18-19_parquedosleilao.com_zz254064c1ba.JPG,N/A,48400.00,51400.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN UP 1.0 14/15,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-UP-1.0-14-15-/4/,https://parquedosleiloesoficial.com/web/fotos/lotes_4_volkswagen-up-1-0-14-15_parquedosleilao.com_zza6349cffa5.JPG,N/A,19200.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMW 328I 15/15,https://parquedosleiloesoficial.com/lote/BMW-328I-15-15-/449/,https://parquedosleiloesoficial.com/web/fotos/lotes_449_bmw-328i-15-15_parquedosleilao.com_zz0569a5c9ea.JPG,N/A,59200.00,61000.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET CAMARO 6.2 11/11,https://parquedosleiloesoficial.com/lote/CHEVROLET-CAMARO-6.2-11-11-/321/,https://parquedosleiloesoficial.com/web/fotos/lotes_321_chevrolet-camaro-6-2-11-11_parquedosleilao.com_zzc67dbe69ab.jpg,N/A,91200.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET CELTA 1.0 10/11,https://parquedosleiloesoficial.com/lote/CHEVROLET-CELTA-1.0-10-11-/381/,https://parquedosleiloesoficial.com/web/fotos/lotes_381_chevrolet-celta-1-0-10-11_parquedosleilao.com_zz0790d18609.JPG,N/A,10200.00,15000.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET ONIX 1.0 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-1.0-18-19-/5/,https://parquedosleiloesoficial.com/web/fotos/lotes_5_chevrolet-onix-1-0-18-19_parquedosleilao.com_zzca6a911413.JPG,N/A,23800.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CIVIC 2.0 16/17,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-16-17-/504/,https://parquedosleiloesoficial.com/web/fotos/lotes_504_honda-civic-2-0-16-17_parquedosleilao.com_zz3c4431ef62.jpg,N/A,48300.00,52700.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEEP COMPASS 2.0 17/18,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-2.0-17-18--/640/,https://parquedosleiloesoficial.com/web/fotos/lotes_640_jeep-compass-2-0-17-18_parquedosleilao.com_zz306a56ac64.JPG,N/A,36800.00,39200.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEEP COMPASS 20/20,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-20-20-/126/,https://parquedosleiloesoficial.com/web/fotos/lotes_126_jeep-compass-20-20_parquedosleilao.com_zz7ce39cba82.jpg,N/A,61400.00,66400.00,23/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MERCEDES BENZ A200 1.6 13/14,https://parquedosleiloesoficial.com/lote/MERCEDES-BENZ-A200-1.6-13-14-/580/,https://parquedosleiloesoficial.com/web/fotos/lotes_580_mercedes-benz-a200-1-6-13-14_parquedosleilao.com_zz8d7ae434d9.JPG,100.675,40300.00,43700.00,07/07/2025,MERCEDES BENZ,4,2013,2014,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2014
NISSAN KICKS 21/22,https://parquedosleiloesoficial.com/lote/NISSAN-KICKS-21-22-/65/,https://parquedosleiloesoficial.com/web/fotos/lotes_65_nissan-kicks-21-22_parquedosleilao.com_zz6c15dafd3f.JPG,N/A,39400.00,0.00,26/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOYOTA COROLLA 17/18,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-17-18-/261/,https://parquedosleiloesoficial.com/web/fotos/lotes_261_toyota-corolla-17-18_parquedosleilao.com_zz601d055ab0.jpg,N/A,42800.00,45000.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOYOTA COROLLA 2.0 22/23,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-22-23--/717/,https://parquedosleiloesoficial.com/web/fotos/lotes_717_toyota-corolla-2-0-22-23_parquedosleilao.com_zz67837d3b3f.JPG,N/A,64100.00,67500.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDI A4 2.0 16/17,https://parquedosleiloesoficial.com/lote/AUDI-A4-2.0-16-17-/505/,https://parquedosleiloesoficial.com/web/fotos/lotes_505_audi-a4-2-0-16-17_parquedosleilao.com_zz3b2ecfb2a8.jpg,N/A,58200.00,62600.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CITROEN C3 1.0 23/23,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.0-23-23-/581/,https://parquedosleiloesoficial.com/web/fotos/lotes_581_citroen-c3-1-0-23-23_parquedosleilao.com_zza1b197ee16.JPG,25.382,34800.00,38800.00,07/07/2025,CITROEN,2,2023,2023,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2023
FORD KA 08/09,https://parquedosleiloesoficial.com/lote/FORD-KA-08-09-/66/,https://parquedosleiloesoficial.com/web/fotos/lotes_66_ford-ka-08-09_parquedosleilao.com_zza5270f6fb8.jpg,N/A,6500.00,0.00,26/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD RANGER 17/17,https://parquedosleiloesoficial.com/lote/FORD-RANGER-17-17--/127/,https://parquedosleiloesoficial.com/web/fotos/lotes_127_ford-ranger-17-17_parquedosleilao.com_zzf32dc4b0df.JPG,N/A,57200.00,62000.00,23/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CITY SEDAN 1.5 12/13,https://parquedosleiloesoficial.com/lote/HONDA-CITY-SEDAN-1.5-12-13-/322/,https://parquedosleiloesoficial.com/web/fotos/lotes_322_honda-city-sedan-1-5-12-13_parquedosleilao.com_zzbf103f5bbe.jpg,N/A,14500.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
