titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo,veiculo_tipo,veiculo_patio_uf,veiculo_valor_vendido
BMW 218I 21/22,https://parquedosleiloesoficial.com/lote/BMW-218I-21-22-/579/,https://parquedosleiloesoficial.com/web/fotos/lotes_579_bmw-218i-21-22_parquedosleilao.com_zzab7402c20a.JPG,N/A,94300.00,"R$ 98.700,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,218I,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 98.700,00"
CHEVROLET TRACKER 22/23,https://parquedosleiloesoficial.com/lote/CHEVROLET-TRACKER-22-23-/260/,https://parquedosleiloesoficial.com/web/fotos/lotes_260_chevrolet-tracker-22-23_parquedosleilao.com_zz15e0779cc7.jpg,N/A,42500.00,"R$ 44.900,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRACKER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 44.900,00"
CHEVROLET TRAILBLAZER 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-TRAILBLAZER-18-19-/125/,https://parquedosleiloesoficial.com/web/fotos/lotes_125_chevrolet-trailblazer-18-19_parquedosleilao.com_zza897dc4c3d.JPG,N/A,70400.00,"R$ 74.600,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRAILBLAZER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 74.600,00"
CITROËN C3 1.5 12/13,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.5-12-13-/503/,https://parquedosleiloesoficial.com/web/fotos/lotes_503_citroen-c3-1-5-12-13_parquedosleilao.com_zz247df9d74a.jpg,N/A,17600.00,"R$ 21.600,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 21.600,00"
CITROEN C4 CACTUS 1.6 22/23,https://parquedosleiloesoficial.com/lote/CITROEN-C4-CACTUS-1.6-22-23-/380/,https://parquedosleiloesoficial.com/web/fotos/lotes_380_citroen-c4-cactus-1-6-22-23_parquedosleilao.com_zz74d248160f.JPG,N/A,40400.00,"R$ 43.800,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C4,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 43.800,00"
FIAT ARGO 1.0 20/21,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-20-21-/448/,https://parquedosleiloesoficial.com/web/fotos/lotes_448_fiat-argo-1-0-20-21_parquedosleilao.com_zze5dbd5d242.JPG,N/A,29400.00,"R$ 34.600,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 34.600,00"
FIAT ARGO 1.3 17/18,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.3-17-18-/320/,https://parquedosleiloesoficial.com/web/fotos/lotes_320_fiat-argo-1-3-17-18_parquedosleilao.com_zz1a39d38146.jpg,162.197,16800.00,"R$ 17.800,00",15/07/2025,FIAT,1,2017,2018,Sim,DA PARTIDA,"R$ 52.602,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-17-17-/639/,https://parquedosleiloesoficial.com/web/fotos/lotes_639_honda-civic-2-0-17-17_parquedosleilao.com_zzed1f828361.JPG,N/A,40200.00,"R$ 44.200,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 44.200,00"
JEEP COMPASS 2.0 18/19,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-2.0-18-19-/716/,https://parquedosleiloesoficial.com/web/fotos/lotes_716_jeep-compass-2-0-18-19_parquedosleilao.com_zz254064c1ba.JPG,N/A,48400.00,"R$ 51.400,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 51.400,00"
VOLKSWAGEN UP 1.0 14/15,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-UP-1.0-14-15-/4/,https://parquedosleiloesoficial.com/web/fotos/lotes_4_volkswagen-up-1-0-14-15_parquedosleilao.com_zza6349cffa5.JPG,N/A,19200.00,"R$ 24.200,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UP,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 24.200,00"
BMW 328I 15/15,https://parquedosleiloesoficial.com/lote/BMW-328I-15-15-/449/,https://parquedosleiloesoficial.com/web/fotos/lotes_449_bmw-328i-15-15_parquedosleilao.com_zz0569a5c9ea.JPG,N/A,59200.00,"R$ 64.200,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,328I,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 64.200,00"
CHEVROLET CAMARO 6.2 11/11,https://parquedosleiloesoficial.com/lote/CHEVROLET-CAMARO-6.2-11-11-/321/,https://parquedosleiloesoficial.com/web/fotos/lotes_321_chevrolet-camaro-6-2-11-11_parquedosleilao.com_zzc67dbe69ab.jpg,48.659,91200.00,"R$ 93.400,00",15/07/2025,CHEVROLET,3,2011,2011,Sim,DA PARTIDA,"R$ 201.228,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,CAMARO,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/CHEVROLET-CELTA-1.0-10-11-/381/,https://parquedosleiloesoficial.com/web/fotos/lotes_381_chevrolet-celta-1-0-10-11_parquedosleilao.com_zz0790d18609.JPG,N/A,10200.00,"R$ 15.000,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 15.000,00"
CHEVROLET ONIX 1.0 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-1.0-18-19-/5/,https://parquedosleiloesoficial.com/web/fotos/lotes_5_chevrolet-onix-1-0-18-19_parquedosleilao.com_zzca6a911413.JPG,N/A,23800.00,"R$ 28.600,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ONIX,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 28.600,00"
HONDA CIVIC 2.0 16/17,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-16-17-/504/,https://parquedosleiloesoficial.com/web/fotos/lotes_504_honda-civic-2-0-16-17_parquedosleilao.com_zz3c4431ef62.jpg,N/A,48300.00,"R$ 52.700,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CIVIC,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 52.700,00"
JEEP COMPASS 2.0 17/18,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-2.0-17-18--/640/,https://parquedosleiloesoficial.com/web/fotos/lotes_640_jeep-compass-2-0-17-18_parquedosleilao.com_zz306a56ac64.JPG,N/A,36800.00,"R$ 40.800,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 40.800,00"
JEEP COMPASS 20/20,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-20-20-/126/,https://parquedosleiloesoficial.com/web/fotos/lotes_126_jeep-compass-20-20_parquedosleilao.com_zz7ce39cba82.jpg,N/A,61400.00,"R$ 64.800,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 64.800,00"
MERCEDES BENZ A200 1.6 13/14,https://parquedosleiloesoficial.com/lote/MERCEDES-BENZ-A200-1.6-13-14-/580/,https://parquedosleiloesoficial.com/web/fotos/lotes_580_mercedes-benz-a200-1-6-13-14_parquedosleilao.com_zz8d7ae434d9.JPG,N/A,40300.00,"R$ 45.500,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BENZ,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 45.500,00"
NISSAN KICKS 21/22,https://parquedosleiloesoficial.com/lote/NISSAN-KICKS-21-22-/65/,https://parquedosleiloesoficial.com/web/fotos/lotes_65_nissan-kicks-21-22_parquedosleilao.com_zz6c15dafd3f.JPG,10.619,39400.00,"R$ 43.400,00",14/07/2025,NISSAN,2,2021,2022,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 97.941,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,KICKS,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-17-18-/261/,https://parquedosleiloesoficial.com/web/fotos/lotes_261_toyota-corolla-17-18_parquedosleilao.com_zz601d055ab0.jpg,N/A,42800.00,"R$ 45.000,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 45.000,00"
TOYOTA COROLLA 2.0 22/23,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-22-23--/717/,https://parquedosleiloesoficial.com/web/fotos/lotes_717_toyota-corolla-2-0-22-23_parquedosleilao.com_zz67837d3b3f.JPG,N/A,64100.00,"R$ 67.500,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COROLLA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 67.500,00"
AUDI A4 2.0 16/17,https://parquedosleiloesoficial.com/lote/AUDI-A4-2.0-16-17-/505/,https://parquedosleiloesoficial.com/web/fotos/lotes_505_audi-a4-2-0-16-17_parquedosleilao.com_zz3b2ecfb2a8.jpg,N/A,58200.00,"R$ 62.600,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A4,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 62.600,00"
CITROEN C3 1.0 23/23,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.0-23-23-/581/,https://parquedosleiloesoficial.com/web/fotos/lotes_581_citroen-c3-1-0-23-23_parquedosleilao.com_zza1b197ee16.JPG,N/A,34800.00,"R$ 40.600,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 40.600,00"
