titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo,veiculo_tipo,veiculo_patio_uf,veiculo_valor_vendido
CHEVROLET CRUZE 22/23,https://parquedosleiloesoficial.com/lote/CHEVROLET-CRUZE-22-23-/452/,https://parquedosleiloesoficial.com/web/fotos/lotes_452_chevrolet-cruze-22-23_parquedosleilao.com_zz08d4f77bbf.JPG,N/A,64300.00,"R$ 68.500,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CRUZE,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 68.500,00"
FIAT SIENA 13/13,https://parquedosleiloesoficial.com/lote/FIAT-SIENA-13-13-/68/,https://parquedosleiloesoficial.com/web/fotos/lotes_68_fiat-siena-13-13_parquedosleilao.com_zzd3c4ea89af.jpg,123.010,9300.00,"R$ 12.100,00",14/07/2025,FIAT,4,2013,2013,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 32.372,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,SIENA,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
HONDA CIVIC 2.0 20/20,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-20-20-/720/,https://parquedosleiloesoficial.com/web/fotos/lotes_720_honda-civic-2-0-20-20_parquedosleilao.com_zzd98f9fcfd2.JPG,N/A,59300.00,"R$ 61.700,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CIVIC,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 61.700,00"
HONDA FIT 1.5 15/16,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.5-15-16-/643/,https://parquedosleiloesoficial.com/web/fotos/lotes_643_honda-fit-1-5-15-16_parquedosleilao.com_zz5d00a24ef4.JPG,N/A,22600.00,"R$ 27.600,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FIT,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 27.600,00"
HYUNDAI CRETA 1.0 24/25,https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-24-25-/583/,https://parquedosleiloesoficial.com/web/fotos/lotes_583_hyundai-creta-1-0-24-25_parquedosleilao.com_zz9dbe78dc88.JPG,N/A,65500.00,"R$ 70.700,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CRETA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 70.700,00"
RENAULT KWID 23/24,https://parquedosleiloesoficial.com/lote/RENAULT-KWID-23-24-/264/,https://parquedosleiloesoficial.com/web/fotos/lotes_264_renault-kwid-23-24_parquedosleilao.com_zze5930aa045.jpg,N/A,20600.00,"R$ 23.000,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,KWID,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 23.000,00"
TOYOTA ETIOS 1.3 16/17,https://parquedosleiloesoficial.com/lote/TOYOTA-ETIOS-1.3-16-17-/384/,https://parquedosleiloesoficial.com/web/fotos/lotes_384_toyota-etios-1-3-16-17_parquedosleilao.com_zz78e9233415.JPG,N/A,24700.00,"R$ 28.900,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ETIOS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 28.900,00"
VOLKSWAGEN SAVEIRO 1.6 13/14,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-SAVEIRO-1.6-13-14-/507/,https://parquedosleiloesoficial.com/web/fotos/lotes_507_volkswagen-saveiro-1-6-13-14_parquedosleilao.com_zz10b7353d21.jpg,N/A,24700.00,"R$ 29.700,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SAVEIRO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 29.700,00"
VOLKSWAGEN T-CROSS 19/20,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-19-20-/129/,https://parquedosleiloesoficial.com/web/fotos/lotes_129_volkswagen-t-cross-19-20_parquedosleilao.com_zze31d8dcbae.jpg,N/A,48700.00,"R$ 52.300,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T-CROSS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 52.300,00"
VOLKSWAGEN VOYAGE 1.0 13/14,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-VOYAGE-1.0-13-14-/8/,https://parquedosleiloesoficial.com/web/fotos/lotes_8_volkswagen-voyage-1-0-13-14_parquedosleilao.com_zz7d15aeeb56.JPG,N/A,18300.00,"R$ 24.100,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VOYAGE,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 24.100,00"
FIAT LINEA 12/13,https://parquedosleiloesoficial.com/lote/FIAT-LINEA-12-13-/9/,https://parquedosleiloesoficial.com/web/fotos/lotes_9_fiat-linea-12-13_parquedosleilao.com_zzac35156f5d.JPG,N/A,15600.00,"R$ 20.600,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LINEA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 20.600,00"
FIAT MOBI 22/23,https://parquedosleiloesoficial.com/lote/FIAT-MOBI-22-23-/265/,https://parquedosleiloesoficial.com/web/fotos/lotes_265_fiat-mobi-22-23_parquedosleilao.com_zz8544191a72.jpg,N/A,16700.00,"R$ 17.700,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MOBI,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 17.700,00"
FORD FIESTA 1.6 11/12,https://parquedosleiloesoficial.com/lote/FORD-FIESTA-1.6-11-12-/385/,https://parquedosleiloesoficial.com/web/fotos/lotes_385_ford-fiesta-1-6-11-12_parquedosleilao.com_zz02ad82333d.JPG,N/A,15900.00,"R$ 19.700,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FIESTA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 19.700,00"
FORD FIESTA 13/14,https://parquedosleiloesoficial.com/lote/FORD-FIESTA-13-14-/69/,https://parquedosleiloesoficial.com/web/fotos/lotes_69_ford-fiesta-13-14_parquedosleilao.com_zz9f5c7d9118.jpg,51.290,9500.00,"R$ 11.900,00",14/07/2025,FORD,5,2013,2014,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 34.363,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,FIESTA,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
JEEP COMPASS 19/19,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-19-19-/325/,https://parquedosleiloesoficial.com/web/fotos/lotes_325_jeep-compass-19-19_parquedosleilao.com_zz3574710920.jpg,90.309,37300.00,"R$ 38.300,00",15/07/2025,JEEP,7,2019,2019,Sim,DA PARTIDA,"R$ 94.707,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
NISSAN FRONTIER LEATX4 20/21,https://parquedosleiloesoficial.com/lote/NISSAN-FRONTIER-LEATX4-20-21-/130/,https://parquedosleiloesoficial.com/web/fotos/lotes_130_nissan-frontier-leatx4-20-21_parquedosleilao.com_zzb0008727c3.JPG,N/A,75900.00,"R$ 79.100,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FRONTIER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 79.100,00"
RENAULT DUSTER 1.6 23/24,https://parquedosleiloesoficial.com/lote/RENAULT-DUSTER-1.6-23-24-/453/,https://parquedosleiloesoficial.com/web/fotos/lotes_453_renault-duster-1-6-23-24_parquedosleilao.com_zze7797c277a.JPG,N/A,55800.00,"R$ 61.000,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DUSTER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 61.000,00"
TOYOTA ETIOS 1.3 14/14,https://parquedosleiloesoficial.com/lote/TOYOTA-ETIOS-1.3-14-14-/584/,https://parquedosleiloesoficial.com/web/fotos/lotes_584_toyota-etios-1-3-14-14_parquedosleilao.com_zz540e74f519.JPG,N/A,20200.00,"R$ 25.400,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ETIOS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 25.400,00"
VOLKSWAGEN GOLF 1.4 16/16,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-GOLF-1.4-16-16-/644/,https://parquedosleiloesoficial.com/web/fotos/lotes_644_volkswagen-golf-1-4-16-16_parquedosleilao.com_zz60fc575639.JPG,N/A,35400.00,"R$ 40.400,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GOLF,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 40.400,00"
VOLKSWAGEN T-CROSS 1.0 22/22,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-1.0-22-22-/721/,https://parquedosleiloesoficial.com/web/fotos/lotes_721_volkswagen-t-cross-1-0-22-22_parquedosleilao.com_zz36f4140a57.JPG,N/A,48800.00,"R$ 51.800,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T-CROSS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 51.800,00"
VOLVO XC60 2.0 17/18,https://parquedosleiloesoficial.com/lote/VOLVO-XC60-2.0-17-18-/508/,https://parquedosleiloesoficial.com/web/fotos/lotes_508_volvo-xc60-2-0-17-18_parquedosleilao.com_zz6b0b78bd46.jpg,N/A,77400.00,"R$ 83.000,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XC60,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 83.000,00"
FIAT ARGO 1.0 18/19,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-1.0-18-19-/509/,https://parquedosleiloesoficial.com/web/fotos/lotes_509_fiat-argo-1-0-18-19_parquedosleilao.com_zza6b514a843.jpg,N/A,26300.00,"R$ 30.300,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 30.300,00"
HONDA CIVIC 08/08,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-08-08-/70/,https://parquedosleiloesoficial.com/web/fotos/lotes_70_honda-civic-08-08_parquedosleilao.com_zz818a2b40b7.jpg,155.680,11800.00,"R$ 14.800,00",14/07/2025,HONDA,6,2008,2008,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 39.739,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,CIVIC,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-21-22-/722/,https://parquedosleiloesoficial.com/web/fotos/lotes_722_hyundai-creta-1-0-21-22_parquedosleilao.com_zz50416473e3.JPG,N/A,62700.00,"R$ 64.700,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 64.700,00"
HYUNDAI HB20 1.0 21/21,https://parquedosleiloesoficial.com/lote/HYUNDAI-HB20-1.0-21-21--/645/,https://parquedosleiloesoficial.com/web/fotos/lotes_645_hyundai-hb20-1-0-21-21_parquedosleilao.com_zzdb8860e5f9.JPG,N/A,20500.00,"R$ 26.300,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HB20,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 26.300,00"
HYUNDAI HB20 16/16,https://parquedosleiloesoficial.com/lote/HYUNDAI-HB20-16-16-/266/,https://parquedosleiloesoficial.com/web/fotos/lotes_266_hyundai-hb20-16-16_parquedosleilao.com_zzd4a92dc498.jpg,N/A,13800.00,"R$ 15.000,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HB20,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 15.000,00"
KIA SPORTAGE 17/18,https://parquedosleiloesoficial.com/lote/KIA-SPORTAGE-17-18-/131/,https://parquedosleiloesoficial.com/web/fotos/lotes_131_kia-sportage-17-18_parquedosleilao.com_zzb2624f9b7d.jpg,N/A,56400.00,"R$ 60.200,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPORTAGE,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 60.200,00"
PEUGEOT 208 22/23,https://parquedosleiloesoficial.com/lote/PEUGEOT-208-22-23-/10/,https://parquedosleiloesoficial.com/web/fotos/lotes_10_peugeot-208-22-23_parquedosleilao.com_zzf1a61d6912.JPG,N/A,39500.00,"R$ 44.100,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 44.100,00"
TOYOTA COROLLA 20/21,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-20-21-/326/,https://parquedosleiloesoficial.com/web/fotos/lotes_326_toyota-corolla-20-21_parquedosleilao.com_zz1ccd67999c.jpg,49.955,46300.00,"R$ 48.900,00",15/07/2025,TOYOTA,8,2020,2021,Sim,DA PARTIDA,"R$ 112.208,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,COROLLA,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
TOYOTA ETIOS 1.5 14/15,https://parquedosleiloesoficial.com/lote/TOYOTA-ETIOS-1.5-14-15-/454/,https://parquedosleiloesoficial.com/web/fotos/lotes_454_toyota-etios-1-5-14-15_parquedosleilao.com_zz3825062c13.JPG,N/A,20200.00,"R$ 26.000,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ETIOS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 26.000,00"
VOLKSWAGEN GOL 1.0 13/14,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-GOL-1.0-13-14-/386/,https://parquedosleiloesoficial.com/web/fotos/lotes_386_volkswagen-gol-1-0-13-14_parquedosleilao.com_zz78dd8adc3f.JPG,N/A,16700.00,"R$ 20.700,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GOL,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 20.700,00"
VOLKSWAGEN GOL 1.0 20/21,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-GOL-1.0-20-21-/585/,https://parquedosleiloesoficial.com/web/fotos/lotes_585_volkswagen-gol-1-0-20-21_parquedosleilao.com_zzc05929bcff.JPG,N/A,25300.00,"R$ 31.300,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GOL,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 31.300,00"
FIAT ARGO 22/22,https://parquedosleiloesoficial.com/lote/FIAT-ARGO-22-22-/267/,https://parquedosleiloesoficial.com/web/fotos/lotes_267_fiat-argo-22-22_parquedosleilao.com_zza2e054494b.jpg,N/A,20300.00,"R$ 21.500,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ARGO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 21.500,00"
FIAT MOBI 17/18,https://parquedosleiloesoficial.com/lote/FIAT-MOBI-17-18-/71/,https://parquedosleiloesoficial.com/web/fotos/lotes_71_fiat-mobi-17-18_parquedosleilao.com_zze2c9f2e6e8.JPG,33.367,10500.00,"R$ 13.500,00",14/07/2025,FIAT,8,2017,2018,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 41.291,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,MOBI,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
FIAT MOBI 23/23,https://parquedosleiloesoficial.com/lote/FIAT-MOBI-23-23-/11/,https://parquedosleiloesoficial.com/web/fotos/lotes_11_fiat-mobi-23-23_parquedosleilao.com_zz76255a8ddf.JPG,N/A,26900.00,"R$ 33.100,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MOBI,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 33.100,00"
FORD FIESTA 1.6 13/13,https://parquedosleiloesoficial.com/lote/FORD-FIESTA-1.6-13-13-/455/,https://parquedosleiloesoficial.com/web/fotos/lotes_455_ford-fiesta-1-6-13-13_parquedosleilao.com_zz9602ff907e.JPG,N/A,15400.00,"R$ 19.000,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FIESTA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 19.000,00"
HONDA FIT 1.5 14/15,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.5-14-15-/723/,https://parquedosleiloesoficial.com/web/fotos/lotes_723_honda-fit-1-5-14-15_parquedosleilao.com_zz45e7944d8a.JPG,N/A,31500.00,"R$ 37.000,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FIT,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 37.000,00"
HONDA FIT 1.5 18/18,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.5-18-18-/327/,https://parquedosleiloesoficial.com/web/fotos/lotes_327_honda-fit-1-5-18-18_parquedosleilao.com_zz6c503269a0.jpg,13.223,26400.00,"R$ 28.000,00",15/07/2025,HONDA,9,2018,2018,Sim,DA PARTIDA,"R$ 71.925,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,FIT,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
HYUNDAI HB20 1.0 14/15,https://parquedosleiloesoficial.com/lote/HYUNDAI-HB20-1.0-14-15-/586/,https://parquedosleiloesoficial.com/web/fotos/lotes_586_hyundai-hb20-1-0-14-15_parquedosleilao.com_zzcf344b5f4d.JPG,N/A,21700.00,"R$ 27.500,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HB20,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 27.500,00"
HYUNDAI HB20X 1.6 16/16,https://parquedosleiloesoficial.com/lote/HYUNDAI-HB20X-1.6-16-16-/387/,https://parquedosleiloesoficial.com/web/fotos/lotes_387_hyundai-hb20x-1-6-16-16_parquedosleilao.com_zzf4b43f6581.JPG,N/A,31400.00,"R$ 35.000,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HB20X,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 35.000,00"
MERCEDES BENZ A250 14/15,https://parquedosleiloesoficial.com/lote/MERCEDES-BENZ-A250-14-15-/132/,https://parquedosleiloesoficial.com/web/fotos/lotes_132_mercedes-benz-a250-14-15_parquedosleilao.com_zz4c4500c62c.jpg,N/A,59200.00,"R$ 64.400,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BENZ,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 64.400,00"
TOYOTA COROLLA 1.8 15/16,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-1.8-15-16-/510/,https://parquedosleiloesoficial.com/web/fotos/lotes_510_toyota-corolla-1-8-15-16_parquedosleilao.com_zza703d1ecd4.jpg,N/A,37400.00,"R$ 41.800,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COROLLA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 41.800,00"
TOYOTA HILUX 2.8 21/21,https://parquedosleiloesoficial.com/lote/TOYOTA-HILUX-2.8-21-21-/646/,https://parquedosleiloesoficial.com/web/fotos/lotes_646_toyota-hilux-2-8-21-21_parquedosleilao.com_zz6d475cfce0.JPG,N/A,109300.00,"R$ 114.300,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HILUX,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 114.300,00"
CAOA CHERY ARRIZO 20/21,https://parquedosleiloesoficial.com/lote/CAOA-CHERY-ARRIZO-20-21-/133/,https://parquedosleiloesoficial.com/web/fotos/lotes_133_caoa-chery-arrizo-20-21_parquedosleilao.com_zzf7937c390a.JPG,N/A,43600.00,"R$ 47.200,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CHERY,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 47.200,00"
CHEVROLET COBALT 19/20,https://parquedosleiloesoficial.com/lote/CHEVROLET-COBALT-19-20-/268/,https://parquedosleiloesoficial.com/web/fotos/lotes_268_chevrolet-cobalt-19-20_parquedosleilao.com_zz1be5e19492.JPG,N/A,21200.00,"R$ 23.600,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COBALT,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 23.600,00"
CHEVROLET CRUZE 16/16,https://parquedosleiloesoficial.com/lote/CHEVROLET-CRUZE-16-16-/12/,https://parquedosleiloesoficial.com/web/fotos/lotes_12_chevrolet-cruze-16-16_parquedosleilao.com_zz29075772eb.JPG,N/A,36800.00,"R$ 41.800,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CRUZE,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 41.800,00"
FIAT PALIO 1.6 13/13,https://parquedosleiloesoficial.com/lote/FIAT-PALIO-1.6-13-13-/511/,https://parquedosleiloesoficial.com/web/fotos/lotes_511_fiat-palio-1-6-13-13_parquedosleilao.com_zz353963e59b.jpg,N/A,19200.00,"R$ 24.000,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PALIO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 24.000,00"
FIAT PUNTO 12/13,https://parquedosleiloesoficial.com/lote/FIAT-PUNTO-12-13-/72/,https://parquedosleiloesoficial.com/web/fotos/lotes_72_fiat-punto-12-13_parquedosleilao.com_zz738e35496c.jpg,132.382,11200.00,"R$ 14.400,00",14/07/2025,FIAT,8,2012,2013,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 34.780,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,PUNTO,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
FORD FOCUS 1.6 12/13,https://parquedosleiloesoficial.com/lote/FORD-FOCUS-1.6-12-13--/456/,https://parquedosleiloesoficial.com/web/fotos/lotes_456_ford-focus-1-6-12-13_parquedosleilao.com_zz06361de978.JPG,N/A,18300.00,"R$ 22.100,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FOCUS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 22.100,00"
HONDA HR-V 1.8 15/16,https://parquedosleiloesoficial.com/lote/HONDA-HR-V-1.8-15-16-/647/,https://parquedosleiloesoficial.com/web/fotos/lotes_647_honda-hr-v-1-8-15-16_parquedosleilao.com_zz709637ebb7.JPG,N/A,32600.00,"R$ 36.600,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HR-V,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 36.600,00"
HYUNDAI HB20S 1.0 22/23,https://parquedosleiloesoficial.com/lote/HYUNDAI-HB20S-1.0-22-23-/724/,https://parquedosleiloesoficial.com/web/fotos/lotes_724_hyundai-hb20s-1-0-22-23_parquedosleilao.com_zz0fb9423abf.JPG,N/A,37100.00,"R$ 40.900,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HB20S,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 40.900,00"
HYUNDAI IX35 2.0 19/20,https://parquedosleiloesoficial.com/lote/HYUNDAI-IX35-2.0-19-20-/587/,https://parquedosleiloesoficial.com/web/fotos/lotes_587_hyundai-ix35-2-0-19-20_parquedosleilao.com_zz90a4700dcf.JPG,N/A,46200.00,"R$ 50.800,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,IX35,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 50.800,00"
TOYOTA HILUX 2.8 18/18,https://parquedosleiloesoficial.com/lote/TOYOTA-HILUX-2.8-18-18-/388/,https://parquedosleiloesoficial.com/web/fotos/lotes_388_toyota-hilux-2-8-18-18_parquedosleilao.com_zz1300d2979a.JPG,N/A,88500.00,"R$ 92.100,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HILUX,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 92.100,00"
VOLKSWAGEN FOX 1.0 15/15,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-FOX-1.0-15-15-/328/,https://parquedosleiloesoficial.com/web/fotos/lotes_328_volkswagen-fox-1-0-15-15_parquedosleilao.com_zz96aa8d9b4b.jpg,76.585,11600.00,"R$ 14.000,00",15/07/2025,VOLKSWAGEN,9,2015,2015,Sim,DA PARTIDA,"R$ 41.798,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,FOX,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
CHEVROLET MONTANA 12/12,https://parquedosleiloesoficial.com/lote/CHEVROLET-MONTANA-12-12-/269/,https://parquedosleiloesoficial.com/web/fotos/lotes_269_chevrolet-montana-12-12_parquedosleilao.com_zzd69c924541.jpg,N/A,8500.00,"R$ 9.900,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MONTANA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 9.900,00"
CHEVROLET S10 16/17,https://parquedosleiloesoficial.com/lote/CHEVROLET-S10-16-17-/73/,https://parquedosleiloesoficial.com/web/fotos/lotes_73_chevrolet-s10-16-17_parquedosleilao.com_zz00ff4adeee.jpg,82.129,64300.00,"R$ 67.900,00",14/07/2025,CHEVROLET,9,2016,2017,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 148.584,00",DIESEL,RECUPERADO DE FINANCIAMENTO,N/A,S10,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
CITROEN C3 1.0 23/24,https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.0-23-24-/588/,https://parquedosleiloesoficial.com/web/fotos/lotes_588_citroen-c3-1-0-23-24_parquedosleilao.com_zzb9e3c1e422.JPG,N/A,35600.00,"R$ 41.200,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 41.200,00"
